16
965 1635
951 386 809
754 281 112
585 330 74
606 136 636
962 30 887
140 734 391
402 632 935
414 481 98
109 186 995
131 953 292
47 943 754
521 289 56
314 825 681
958 675 190
530 113 215
169 571 530
699 673 285
222 550 674
550 914 515
956 723 791
362 201 393
447 293 97
157 301 281
833 488 303
219 535 30
107 342 981
339 925 527
649 487 127
631 462 641
729 621 956
492 307 594
307 166 7
490 77 405
179 345 266
855 862 363
450 717 252
253 99 911
322 640 364
772 424 335
513 152 409
321 698 66
388 850 754
271 661 435
741 703 780
257 844 769
940 654 210
385 430 804
963 859 414
497 761 79
651 891 43
622 769 833
479 29 606
772 695 110
392 141 383
672 123 635
90 279 789
515 66 289
801 87 753
638 179 527
890 67 994
28 211 558
350 58 313
865 278 457
523 477 605
574 860 261
436 691 594
388 492 204
760 101 141
654 237 754
515 767 152
427 225 825
78 775 219
243 709 414
918 578 555
797 923 407
920 215 383
933 169 438
175 14 936
507 358 439
914 72 374
703 422 333
37 364 780
539 417 73
476 965 244
714 6 694
489 918 942
785 752 754
280 166 3
494 96 671
114 491 867
154 638 267
55 708 731
677 130 731
304 90 28
804 568 146
260 33 33
351 509 580
303 238 112
807 264 378
947 74 69
447 822 708
237 226 265
564 113 784
643 830 309
661 27 821
634 577 807
447 485 863
831 816 850
43 370 273
743 536 13
570 726 741
431 258 455
510 39 895
212 351 88
561 329 200
20 587 489
319 935 156
106 51 64
610 787 814
963 315 487
531 815 981
822 32 267
9 725 828
543 216 64
165 475 305
623 460 899
132 646 536
412 110 757
579 633 768
49 615 141
574 285 192
464 676 904
376 864 38
745 946 71
573 938 648
503 246 549
746 515 879
91 357 505
183 60 894
635 847 815
862 446 544
106 656 137
948 699 111
303 25 475
189 902 233
323 947 661
197 520 576
398 744 458
786 621 259
747 299 519
768 613 763
795 713 382
865 559 798
603 703 718
345 947 505
94 319 189
741 134 948
3 801 102
388 624 212
915 52 487
800 457 733
200 9 161
763 646 657
218 270 209
252 870 196
165 705 435
487 597 725
945 307 130
670 724 249
392 11 504
147 950 876
570 135 155
662 212 431
442 380 336
462 612 587
101 866 465
952 783 824
539 731 759
105 585 140
796 276 576
846 916 678
582 589 54
685 696 612
769 859 373
604 474 143
846 452 442
266 199 295
248 637 311
104 30 719
86 324 842
677 239 987
753 262 593
788 903 867
739 933 561
21 721 940
755 336 97
92 607 671
98 879 499
721 406 38
124 372 988
700 415 488
289 192 123
207 563 881
883 459 608
419 432 293
304 626 483
114 255 129
562 305 190
545 625 954
803 337 133
690 121 759
784 291 549
664 547 44
906 618 977
639 310 986
468 525 558
788 948 380
888 912 709
952 876 938
849 531 563
867 547 300
383 620 908
717 107 944
819 57 557
102 61 89
176 665 293
285 583 84
268 540 423
439 930 97
652 918 15
692 764 554
776 87 909
584 595 690
803 829 106
713 69 260
160 148 201
60 726 318
634 748 339
12 412 178
820 603 923
522 113 885
542 630 389
948 438 933
606 454 717
642 367 195
918 786 97
320 388 185
914 950 263
395 221 614
688 23 178
687 469 96
846 920 690
284 749 976
543 245 380
520 544 783
279 480 731
385 352 420
117 938 400
327 276 315
474 346 163
474 941 108
652 639 310
793 531 452
217 628 149
348 284 152
168 537 614
215 533 433
115 569 815
179 7 2
675 897 281
426 367 74
297 328 186
932 371 167
661 584 310
210 294 728
728 396 941
804 724 578
917 572 632
548 889 779
626 482 611
901 143 147
685 522 404
151 415 756
758 156 97
312 811 65
596 546 737
488 53 223
862 716 229
129 888 657
837 232 549
151 299 183
378 98 931
818 164 661
45 518 772
604 385 711
561 518 953
476 267 260
279 125 389
514 488 312
882 374 454
889 651 413
110 426 626
385 478 454
199 243 388
389 244 213
644 917 457
468 13 46
389 268 985
863 949 473
183 941 984
859 525 523
142 331 158
234 559 509
457 648 710
536 641 353
450 610 205
136 833 517
556 90 52
706 596 49
99 517 940
327 84 915
695 648 374
147 278 485
327 737 145
383 782 118
200 649 873
435 762 557
508 894 77
87 906 12
215 798 723
148 57 83
273 708 124
42 481 495
392 149 692
518 208 348
648 213 62
942 375 709
338 772 925
793 919 883
424 167 536
762 267 817
101 797 110
390 695 314
94 501 930
791 218 717
388 753 205
892 253 207
701 469 933
385 99 678
809 549 205
275 950 125
399 532 208
166 284 335
617 687 547
629 605 31
723 601 156
682 804 417
324 796 477
678 611 796
204 606 634
77 306 293
595 815 419
6 477 954
420 799 64
596 252 982
145 771 950
274 574 184
233 52 339
830 540 99
798 294 950
620 498 644
147 755 762
753 533 250
56 654 152
490 16 461
423 875 21
534 39 258
253 8 346
293 646 511
87 690 24
707 540 241
488 721 418
100 871 647
80 945 107
688 426 75
92 526 328
611 413 811
153 394 582
367 90 443
946 320 491
827 401 675
330 218 437
120 333 445
220 235 715
539 428 511
463 25 606
438 485 103
22 663 61
7 494 925
409 712 151
550 559 407
465 80 760
925 177 801
254 5 814
461 425 307
719 93 46
302 361 858
856 135 496
65 265 242
290 92 119
247 47 10
138 529 927
259 817 755
308 614 130
448 83 5
855 282 172
961 283 381
751 626 452
199 276 534
413 716 449
736 541 747
30 456 912
235 641 772
241 841 71
69 622 55
199 363 120
733 362 868
689 15 491
529 569 760
223 725 239
713 688 65
474 547 937
219 499 407
332 97 765
862 169 418
393 661 386
95 854 929
382 668 617
322 463 521
601 764 731
501 291 128
597 161 806
164 261 45
49 790 341
310 61 501
338 114 613
884 595 830
849 34 551
902 831 105
100 779 581
933 284 342
281 58 161
962 805 306
42 552 155
192 19 303
767 754 846
499 292 191
152 662 39
457 460 528
2 453 222
512 605 623
874 551 592
602 385 776
626 329 947
359 600 124
196 547 898
116 381 853
297 585 669
349 565 75
365 912 608
189 460 708
560 15 500
70 28 230
789 385 648
933 194 917
132 118 967
61 551 941
893 50 937
144 499 265
831 426 196
239 225 220
235 873 988
954 130 677
633 641 742
181 907 295
266 149 152
220 872 178
850 538 693
218 732 203
343 156 190
150 846 710
64 951 322
892 571 345
675 834 975
482 675 888
462 577 658
346 748 646
614 638 518
151 837 424
828 755 661
47 924 400
11 107 380
208 623 324
303 763 413
44 633 298
303 177 875
135 776 402
368 778 364
646 456 772
618 753 750
537 218 935
601 756 107
798 2 308
338 143 898
570 874 619
638 253 630
14 323 962
196 756 549
440 80 373
67 822 377
609 413 558
77 252 427
186 732 398
31 427 118
639 297 217
820 692 890
400 70 721
593 677 892
323 759 865
257 502 815
829 150 379
267 856 80
943 139 280
609 371 205
193 80 663
439 763 823
832 70 995
916 505 335
489 775 223
476 208 589
733 4 743
189 789 651
483 477 651
375 823 586
450 512 20
162 690 907
154 456 307
657 650 860
783 870 948
552 612 721
907 98 294
271 139 862
231 404 688
471 776 738
800 482 541
360 853 552
16 728 78
897 383 556
750 43 898
783 851 692
657 400 428
912 85 274
927 622 630
258 686 59
277 101 577
601 187 171
645 870 337
163 609 297
411 369 170
495 624 77
253 464 895
30 308 166
882 392 456
95 545 664
745 874 314
178 359 333
32 668 464
296 780 230
196 50 684
421 14 324
659 840 283
772 150 871
722 47 973
674 97 826
440 692 664
659 808 280
944 141 715
632 860 895
713 743 4
492 36 818
268 942 563
368 588 234
247 382 177
141 429 896
485 337 403
853 921 623
122 423 5
938 565 529
159 7 411
268 332 621
83 271 74
504 579 78
827 875 962
695 758 599
589 222 946
412 937 365
788 724 207
413 212 685
166 902 7
720 186 103
234 155 856
340 231 891
721 207 678
38 876 135
787 231 844
494 206 40
710 596 101
401 658 639
240 779 318
315 343 707
391 438 91
39 400 517
180 523 690
706 198 902
792 555 357
960 393 19
55 470 633
809 355 468
177 479 202
493 626 56
426 158 87
502 149 594
874 960 827
35 464 511
91 275 971
10 629 405
787 600 125
199 629 763
616 410 49
535 307 621
116 673 419
522 889 604
132 778 956
731 681 601
22 140 728
797 451 955
313 418 423
695 956 687
138 201 698
446 106 798
751 134 749
105 165 40
450 230 185
731 253 512
912 355 259
933 671 89
104 178 204
721 540 943
131 110 315
287 534 311
456 551 582
669 741 398
694 189 776
374 610 227
959 620 330
659 164 362
772 267 315
247 473 604
753 604 415
574 918 868
778 916 989
142 442 676
269 208 673
636 375 238
476 854 739
132 284 344
367 293 533
529 879 747
26 15 792
456 734 234
214 606 866
790 916 317
34 474 644
319 85 890
293 818 229
889 311 427
308 270 727
510 833 269
653 344 267
42 176 350
938 469 450
572 556 387
336 721 962
209 327 532
419 535 657
579 72 26
767 843 429
789 663 879
654 687 354
404 563 938
564 936 312
876 141 735
766 438 314
2 118 300
694 476 17
107 17 53
253 822 246
585 912 7
502 394 533
349 743 744
332 154 144
131 7 783
615 37 225
755 702 133
606 236 461
337 365 817
91 221 992
17 935 784
617 256 775
318 310 687
176 737 142
568 437 537
606 570 451
441 628 956
949 425 469
69 847 504
532 796 490
131 856 611
63 64 598
892 202 770
161 897 951
917 933 791
650 300 788
377 422 772
486 160 342
843 894 460
938 475 239
805 895 882
867 857 174
206 241 42
185 515 697
382 729 385
464 952 669
23 662 911
467 52 119
519 821 305
190 846 556
304 558 987
101 848 684
122 321 231
495 397 575
763 299 636
178 807 589
540 495 478
105 362 63
914 200 448
867 804 631
441 821 921
721 411 843
956 29 329
703 954 411
743 614 918
214 131 658
692 187 570
811 913 674
664 824 320
812 958 363
24 384 702
937 924 534
701 405 598
83 558 584
906 582 813
466 771 930
634 416 9
929 207 160
119 767 103
85 266 193
194 544 351
625 285 842
501 28 572
708 639 106
50 55 93
666 126 313
275 833 571
740 350 354
795 173 289
82 230 175
204 465 707
42 36 319
905 191 206
727 645 134
140 146 674
791 500 545
417 354 568
680 574 106
218 470 894
584 364 769
811 149 11
753 656 100
357 647 316
799 478 652
273 857 835
354 218 493
106 690 985
19 815 959
483 375 870
550 809 806
20 131 4
669 143 655
91 886 82
183 19 395
836 962 977
479 142 979
522 59 571
161 65 668
275 14 34
576 918 568
3 687 801
729 733 429
911 455 919
545 281 124
849 231 768
289 922 647
793 123 377
763 341 410
737 497 798
115 958 764
561 168 619
341 421 546
443 87 807
943 62 491
248 961 137
922 152 673
621 757 501
469 888 583
387 506 37
394 183 418
444 848 715
121 395 463
840 435 587
877 163 34
861 814 519
500 406 960
817 151 739
497 758 603
791 494 827
832 391 804
663 824 594
344 606 365
578 326 594
305 67 118
263 507 20
469 671 826
107 549 334
220 723 460
522 530 650
65 58 176
654 43 929
75 387 873
934 392 15
788 851 396
662 398 745
793 169 232
864 57 750
943 194 837
470 700 216
353 853 6
207 193 198
738 191 844
462 848 402
643 101 334
559 570 21
86 754 437
722 327 40
641 53 586
345 854 202
635 200 751
687 842 797
905 64 595
15 279 41
290 421 453
508 579 40
907 691 203
768 873 186
620 514 492
919 218 301
170 207 210
393 464 356
462 428 546
555 92 399
258 121 143
242 654 309
887 450 959
255 521 681
579 447 548
928 65 91
271 740 184
476 328 670
303 275 276
769 505 394
702 104 811
468 809 400
760 45 223
22 871 17
760 494 505
423 347 846
444 772 175
280 516 586
561 650 766
218 228 629
422 108 94
530 388 859
226 30 136
564 328 570
264 275 119
334 650 548
660 301 114
93 210 754
765 529 637
35 52 979
178 442 479
279 225 854
940 530 147
100 279 718
223 948 378
505 1 377
21 769 885
509 36 621
930 881 93
721 513 771
693 249 467
723 560 733
307 675 847
164 766 364
607 774 100
39 423 639
235 11 235
482 490 888
437 162 758
514 880 476
407 758 780
886 142 24
764 139 70
324 20 520
632 77 144
843 345 688
943 716 369
808 604 44
731 770 628
652 918 746
694 341 737
767 169 268
618 541 86
121 856 476
63 666 165
459 961 807
324 134 139
436 46 4
51 258 320
411 866 394
573 748 199
604 774 597
940 653 150
941 774 44
854 429 599
665 782 34
611 856 555
438 145 967
99 824 470
798 599 209
85 515 235
419 585 513
469 855 792
965 45 215
667 828 264
216 239 694
439 503 854
248 828 462
392 721 972
755 390 668
540 286 206
605 701 551
789 237 306
745 772 394
255 795 235
40 765 615
369 602 430
344 500 495
831 945 379
637 136 781
4 194 471
124 872 883
724 794 391
575 920 676
484 441 545
481 419 636
939 1887
658 607 430
321 78 316
44 188 280
513 500 522
343 88 666
104 647 382
221 107 827
430 484 178
895 369 776
206 240 392
832 449 457
120 408 13
574 387 582
767 757 461
24 933 676
503 366 602
620 527 381
888 264 894
124 530 365
315 750 481
837 14 454
510 890 617
415 591 714
700 353 831
84 535 463
207 672 346
338 292 195
178 781 570
23 362 121
350 417 864
580 26 548
736 718 281
155 457 853
143 41 740
906 276 679
907 393 283
577 890 882
492 424 973
629 360 6
937 398 10
472 132 507
514 64 618
458 928 278
331 792 159
743 710 30
899 816 507
817 621 359
67 933 932
424 891 308
430 681 560
497 630 723
205 122 832
554 661 688
301 541 881
711 838 506
42 565 29
29 221 255
51 858 881
558 586 114
608 408 862
289 433 413
217 14 780
443 750 778
11 644 416
210 785 117
435 370 431
396 164 718
496 817 815
897 253 896
846 235 868
788 11 340
730 513 815
338 467 492
332 769 377
709 15 568
448 737 405
314 704 177
780 703 887
96 287 255
788 96 97
202 4 40
424 259 711
610 328 713
593 913 219
514 859 451
9 270 370
246 741 822
900 663 782
443 514 371
177 662 252
363 323 958
378 764 327
484 511 678
35 21 480
172 755 63
326 355 967
714 456 171
573 383 892
485 540 992
487 673 314
430 447 421
707 124 160
782 49 625
251 164 758
104 685 850
690 26 28
249 390 983
846 298 356
928 246 67
224 273 662
70 606 823
394 248 102
497 503 336
129 107 707
642 293 473
719 665 729
462 606 717
804 445 44
663 29 986
318 661 244
657 702 695
581 606 944
447 867 403
573 495 433
558 325 590
98 454 172
626 12 478
803 389 818
46 25 757
554 789 96
312 921 447
733 928 656
897 198 992
386 18 243
382 50 740
134 794 553
833 568 790
554 726 4
337 590 584
225 742 849
420 233 899
114 76 161
96 921 318
410 257 815
145 54 507
49 371 930
218 253 181
262 698 413
66 647 427
742 694 51
172 882 22
31 392 917
360 911 873
217 261 704
901 410 867
346 180 299
698 771 524
296 529 87
327 483 856
332 822 8
254 197 623
877 901 218
72 772 228
78 21 919
753 218 6
231 504 144
120 168 812
913 668 280
514 371 948
783 904 229
916 563 976
848 714 908
101 501 689
338 866 429
593 53 388
412 815 533
316 212 790
682 281 973
872 469 281
203 120 770
212 71 984
579 367 556
148 705 460
452 578 248
743 117 348
216 637 634
707 908 119
137 835 901
770 196 440
304 78 733
588 307 682
372 102 179
310 651 421
925 937 170
271 569 518
657 514 447
79 483 400
885 855 685
244 569 335
814 654 97
646 670 371
399 673 871
626 782 213
809 258 718
326 488 137
206 203 877
198 782 58
336 233 570
66 765 881
139 75 901
503 432 830
226 250 620
355 625 402
151 294 847
317 572 678
152 820 990
230 854 515
872 735 945
383 319 42
450 373 880
395 183 44
880 610 406
664 469 173
828 476 730
484 639 260
519 715 554
432 474 407
786 906 590
1 838 416
483 256 783
286 391 201
568 337 896
465 628 457
22 527 30
881 193 186
458 71 536
930 1 773
329 31 591
920 938 370
206 881 384
904 453 532
334 478 264
847 295 599
798 731 647
47 497 152
167 106 308
230 673 643
721 549 227
128 386 801
630 206 604
517 578 413
171 28 115
863 11 798
617 101 946
432 2 76
307 499 875
905 711 350
545 824 342
49 566 201
317 702 286
187 535 517
483 721 834
54 144 992
513 657 975
210 806 243
498 675 143
448 290 732
308 432 890
837 812 805
200 115 446
580 262 844
65 931 549
190 493 782
15 487 116
572 258 23
661 701 706
578 344 430
104 305 946
319 269 798
111 324 480
781 899 72
614 913 117
371 72 16
585 108 675
429 471 581
587 153 321
345 362 953
328 738 533
645 529 190
158 839 966
487 183 565
653 474 677
832 342 589
703 889 963
74 98 702
297 610 450
825 298 287
269 96 639
419 936 776
536 143 610
407 753 68
435 474 876
247 185 695
283 561 645
275 518 577
608 667 420
285 325 996
932 910 560
680 748 442
378 679 234
647 524 728
605 1 511
866 823 352
384 227 396
137 203 807
344 565 659
654 644 980
675 195 526
442 277 471
669 4 505
37 627 448
302 182 354
759 225 217
93 50 757
868 666 762
202 862 788
312 730 83
337 863 384
648 683 17
256 68 82
67 912 862
548 473 633
770 212 186
572 430 147
661 62 858
456 546 182
111 336 970
896 793 229
724 658 810
810 67 719
850 813 696
251 654 359
567 838 577
493 531 722
414 878 5
603 187 452
694 439 589
822 134 643
61 14 475
293 101 45
729 629 742
883 517 357
650 354 190
764 853 390
398 291 981
622 784 743
754 262 58
932 546 529
373 334 678
726 47 353
129 491 638
787 598 910
895 182 251
44 210 92
790 415 988
482 854 136
744 525 458
809 805 870
287 682 607
231 901 335
573 106 489
371 614 513
781 230 633
95 427 719
272 133 85
191 531 453
850 672 28
381 829 37
30 2 264
309 710 171
900 828 878
483 319 582
796 221 818
332 695 973
815 303 691
227 93 707
507 103 82
159 458 798
833 795 394
677 808 333
739 84 962
45 527 562
636 326 75
795 530 450
725 838 495
198 685 753
293 302 550
771 339 333
209 25 937
886 732 873
323 724 316
501 252 625
398 88 437
147 380 842
409 341 647
18 655 44
935 56 221
135 182 301
586 740 527
745 642 421
587 854 820
189 92 250
375 857 936
586 298 635
454 102 44
737 820 212
476 816 34
925 819 14
342 474 367
805 527 555
245 629 295
206 117 432
167 426 418
4 77 710
668 473 129
484 134 252
478 863 995
649 587 366
163 195 929
861 80 192
275 69 214
848 459 452
301 81 918
603 714 241
81 716 956
162 240 860
181 334 42
320 516 763
867 268 336
38 808 530
400 353 23
334 643 248
317 932 798
22 291 854
463 602 723
278 892 177
894 268 903
13 21 145
566 206 356
414 786 481
3 105 482
880 670 681
160 71 693
820 113 61
917 305 629
712 348 711
887 933 980
195 673 517
86 246 634
267 285 791
728 70 348
270 19 432
524 644 64
352 848 426
95 746 853
895 479 153
837 687 464
121 874 54
654 410 130
851 289 855
774 871 46
250 573 124
317 861 837
448 426 586
760 692 881
153 38 658
560 709 716
192 798 544
756 898 361
671 734 777
164 602 63
94 675 690
802 131 482
177 19 834
572 602 628
219 56 311
904 708 639
489 508 246
388 214 527
305 634 101
920 780 19
479 899 154
649 308 699
828 166 119
231 142 551
14 672 386
421 795 788
700 130 649
76 514 787
527 557 327
933 824 772
255 696 397
315 514 183
129 96 816
411 78 886
599 786 400
443 619 915
265 640 631
430 869 832
609 758 744
92 350 865
693 607 176
189 240 939
818 335 198
523 470 946
828 577 767
884 60 713
273 548 253
714 596 350
935 859 321
451 327 803
298 314 118
871 53 453
88 648 813
112 125 506
391 547 574
754 252 681
344 198 513
627 384 91
29 393 741
678 119 31
802 892 713
311 855 351
223 764 874
109 347 218
696 140 798
703 181 512
770 398 436
377 112 240
434 5 23
305 416 275
308 423 652
71 811 857
836 560 351
732 582 490
745 28 371
644 195 495
821 461 298
860 684 645
230 214 419
730 469 714
357 427 116
315 740 743
727 410 39
251 664 966
555 125 59
190 583 623
435 833 909
837 205 624
339 276 116
340 258 329
830 672 498
490 508 568
455 680 604
216 812 413
647 352 561
36 368 536
52 694 305
196 483 139
560 219 585
429 444 763
20 508 848
198 163 859
358 912 356
188 371 506
911 467 767
572 804 371
928 826 883
558 77 432
7 852 480
766 690 777
824 153 956
440 322 350
118 715 289
760 929 354
848 519 793
113 204 67
322 773 425
309 611 765
170 227 587
792 454 631
637 854 299
44 755 420
291 824 816
529 589 546
938 675 353
597 114 87
145 794 315
571 925 562
864 927 558
17 451 184
342 635 173
739 28 903
375 722 25
21 625 768
587 845 932
881 866 25
428 133 403
104 432 216
542 500 987
25 616 900
343 918 776
907 20 453
650 470 762
236 350 960
323 299 982
483 340 409
886 766 295
51 484 756
426 13 239
843 510 206
188 702 725
319 185 92
225 151 518
373 329 953
170 40 484
847 183 797
729 422 981
469 210 560
121 245 695
187 237 927
188 233 311
484 26 44
795 669 781
206 530 779
226 570 524
209 913 753
19 653 869
121 867 570
531 39 303
81 589 909
679 127 865
218 924 457
378 699 697
77 120 111
202 619 147
400 864 464
847 655 589
21 617 548
850 858 74
74 697 282
62 199 120
414 279 236
396 123 784
521 786 265
517 804 590
114 364 205
646 75 342
498 114 840
521 235 299
214 895 286
251 271 957
337 237 456
486 271 694
914 464 20
324 408 40
23 667 804
795 846 80
584 861 716
831 685 32
359 89 616
933 395 997
262 212 664
193 462 443
96 468 611
60 903 630
729 273 492
5 109 731
96 621 71
350 695 405
823 610 472
56 29 577
15 607 653
417 927 753
478 351 924
476 880 631
660 423 161
594 798 590
548 245 502
165 103 139
148 101 341
704 594 447
406 852 969
592 807 508
653 469 304
